2025-11-22 00:26:42,0.9,199,416,47.8,39.2
2025-11-22 11:45:12,0.7,209,416,50.2,35.9
2025-11-22 11:46:14,0.4,212,416,51.0,34.9
2025-11-22 11:47:15,1.1,219,416,52.6,35.4
2025-11-22 11:48:17,0.6,219,416,52.6,34.9
2025-11-22 11:49:18,0.6,218,416,52.4,34.9
2025-11-22 11:50:19,0.6,220,416,52.9,34.3
2025-11-22 11:51:21,0.6,221,416,53.1,34.9
2025-11-22 11:52:22,0.9,222,416,53.4,34.3
2025-11-22 11:53:23,0.7,220,416,52.9,34.3
2025-11-22 11:54:25,0.6,220,416,52.9,34.9
2025-11-22 11:55:26,0.6,220,416,52.9,34.3
2025-11-22 11:56:28,0.4,220,416,52.9,34.3
2025-11-22 11:57:33,0.4,221,416,53.1,34.3
2025-11-22 11:58:35,0.4,221,416,53.1,34.9
2025-11-22 11:59:36,1.1,222,416,53.4,34.3
2025-11-22 12:00:38,0.7,224,416,53.8,34.9
2025-11-22 12:01:39,1.1,224,416,53.8,34.9
2025-11-22 12:02:40,0.9,224,416,53.8,34.9
2025-11-22 12:03:42,1.1,223,416,53.6,34.9
2025-11-22 12:04:43,1.1,220,416,52.9,34.9
2025-11-22 12:05:44,0.6,220,416,52.9,35.4
2025-11-22 12:06:46,0.6,221,416,53.1,35.4
2025-11-22 12:07:47,1.1,221,416,53.1,35.4
2025-11-22 12:08:49,0.6,222,416,53.4,34.9
2025-11-22 12:09:50,0.6,222,416,53.4,35.4
2025-11-22 12:10:51,0.9,223,416,53.6,35.4
2025-11-22 12:11:53,0.9,223,416,53.6,35.4
2025-11-22 12:12:54,0.2,223,416,53.6,35.4
2025-11-22 12:13:56,0.4,224,416,53.8,34.3
2025-11-22 12:14:57,0.4,223,416,53.6,35.4
2025-11-22 12:15:58,0.4,212,416,51.0,35.4
2025-11-22 12:17:00,0.4,215,416,51.7,36.5
2025-11-22 12:18:01,1.5,216,416,51.9,35.9
2025-11-22 12:19:02,0.4,216,416,51.9,36.5
2025-11-22 12:20:04,0.6,217,416,52.2,35.9
2025-11-22 12:21:05,0.4,219,416,52.6,36.5
2025-11-22 12:22:06,1.1,220,416,52.9,36.5
2025-11-22 12:23:08,0.4,219,416,52.6,36.5
2025-11-22 12:24:09,1.1,220,416,52.9,36.5
2025-11-22 12:25:11,0.9,218,416,52.4,37.0
2025-11-22 12:26:12,0.6,219,416,52.6,36.5
2025-11-22 12:27:13,0.9,219,416,52.6,37.6
2025-11-22 12:28:15,0.6,220,416,52.9,37.6
2025-11-22 12:29:16,1.7,217,416,52.2,37.6
2025-11-22 12:30:18,0.7,219,416,52.6,37.6
2025-11-22 12:31:19,0.9,221,416,53.1,38.6
2025-11-22 12:32:20,0.4,220,416,52.9,37.6
2025-11-22 12:33:22,0.6,217,416,52.2,38.1
2025-11-22 12:34:23,5.9,223,416,53.6,38.6
2025-11-22 12:35:25,1.1,222,416,53.4,38.1
2025-11-22 12:36:26,0.9,220,416,52.9,38.6
2025-11-22 12:37:27,0.4,222,416,53.4,38.1
2025-11-22 12:38:29,0.6,219,416,52.6,38.6
2025-11-22 12:39:30,0.9,217,416,52.2,38.6
2025-11-22 12:40:31,0.4,215,416,51.7,38.6
2025-11-22 12:41:33,1.1,216,416,51.9,38.1
2025-11-22 12:42:34,0.7,216,416,51.9,37.6
2025-11-22 12:43:36,1.3,217,416,52.2,37.6
2025-11-22 12:44:37,0.4,216,416,51.9,38.1
2025-11-22 12:45:38,0.6,217,416,52.2,38.6
2025-11-22 12:46:40,0.6,218,416,52.4,37.6
2025-11-22 12:47:41,0.9,218,416,52.4,38.1
2025-11-22 12:48:42,0.6,217,416,52.2,38.1
2025-11-22 12:49:44,0.9,218,416,52.4,37.6
2025-11-22 12:50:45,1.1,218,416,52.4,37.6
2025-11-22 12:51:47,0.6,217,416,52.2,38.1
2025-11-22 12:52:48,0.6,217,416,52.2,37.6
2025-11-22 12:53:49,0.6,217,416,52.2,37.6
2025-11-22 12:54:51,1.1,217,416,52.2,37.6
2025-11-22 12:55:52,1.1,217,416,52.2,38.1
2025-11-22 12:56:54,0.4,216,416,51.9,38.1
2025-11-23 19:20:24,1.3,214,416,51.4,49.4
2025-11-23 19:21:26,0.9,215,416,51.7,49.4
2025-11-23 19:22:27,0.2,211,416,50.7,49.4
2025-11-23 19:23:28,0.6,208,416,50.0,47.2
2025-11-23 19:24:30,0.6,212,416,51.0,47.8
2025-11-23 19:25:31,0.9,205,416,49.3,47.8
2025-11-23 19:26:33,0.9,206,416,49.5,47.8
2025-11-23 19:27:34,0.6,209,416,50.2,47.2
2025-11-23 19:28:35,0.9,208,416,50.0,47.2
2025-11-23 19:29:37,0.4,210,416,50.5,47.2
2025-11-23 19:30:38,0.2,207,416,49.8,46.2
2025-11-23 19:31:39,0.6,211,416,50.7,46.2
2025-11-23 19:32:41,1.1,211,416,50.7,46.2
2025-11-23 19:33:42,0.9,208,416,50.0,45.6
2025-11-23 19:34:44,0.6,212,416,51.0,45.1
2025-11-23 19:35:45,0.6,213,416,51.2,45.1
2025-11-23 19:36:46,0.2,211,416,50.7,45.1
2025-11-23 19:37:48,0.6,214,416,51.4,44.0
2025-11-23 19:38:49,0.4,210,416,50.5,44.0
2025-11-23 19:39:51,0.9,209,416,50.2,44.0
2025-11-23 19:40:52,0.6,211,416,50.7,44.0
2025-11-23 19:41:53,0.6,212,416,51.0,44.5
2025-11-23 19:42:55,0.6,210,416,50.5,43.5
2025-11-23 19:43:56,4.2,211,416,50.7,44.0
2025-11-23 19:44:57,0.7,208,416,50.0,44.0
2025-11-23 19:45:59,0.4,208,416,50.0,44.0
2025-12-06 19:39:47,0.4,189,416,45.4,41.9
2025-12-06 19:40:49,0.6,199,416,47.8,41.3
2025-12-06 19:41:50,0.9,203,416,48.8,41.3
2025-12-06 19:42:51,0.9,202,416,48.6,41.3
2025-12-06 19:43:53,0.7,208,416,50.0,40.8
2025-12-06 19:44:54,0.9,191,416,45.9,42.9
2025-12-06 19:45:56,1.3,207,416,49.8,41.9
2025-12-06 19:46:57,0.4,221,416,53.1,41.9
2025-12-06 19:47:59,0.6,222,416,53.4,41.3
2025-12-06 19:49:00,0.6,223,416,53.6,40.8
